1,1,20
1,2,29.957
2,1,2
2,2,384.9
3,1,47
3,2,48.254043
4,1,50
4,2,16.6656
5,1,47
5,2,29.152979
6,1,44
6,2,74.881364
7,1,1
7,2,79
8,1,12
8,2,193.166667
9,1,76
9,2,164.891579
10,1,25
10,2,59.9176
11,1,2
11,2,79
12,1,276
12,2,38.719964
13,1,6
13,2,159
14,1,530
14,2,22.679396
15,1,1
15,2,199
16,1,2
16,2,79
17,1,26
17,2,40.264615
18,1,261
18,2,37.552605
19,1,220
19,2,26.065818
20,1,2
20,2,79
21,1,4
21,2,86.55
22,1,160
22,2,25.564625
23,1,34
23,2,67.035882
24,1,9
24,2,123.588889
25,1,530
25,2,24.345736
26,1,94
26,2,34.997447
27,1,65
27,2,39.085538
28,1,56
28,2,73.042143
29,1,176
29,2,25.989545
30,1,50
30,2,50.1824
31,1,107
31,2,56.546262
32,1,81
32,2,45.046667
33,1,215
33,2,30.063488
34,1,1
34,2,189
35,1,10
35,2,47.444
36,1,97
36,2,65.024227
37,1,8
37,2,101.11
38,1,7
38,2,197.571429
39,1,5
39,2,28.904
40,1,209
40,2,26.644498
41,1,6
41,2,122.333333
42,1,99
42,2,69.83798
43,1,19
43,2,155.632105
44,1,4
44,2,139
45,1,148
45,2,30.268243
46,1,2
46,2,349
47,1,186
47,2,39.176075
48,1,146
48,2,52.099932
49,1,996
49,2,27.827028
50,1,210
50,2,38.575571
51,1,8
51,2,197.75
52,1,82
52,2,31.84
53,1,210
53,2,34.807762
54,1,2
54,2,81.2
55,1,20
55,2,24.344
56,1,384
56,2,21.259792
57,1,98
57,2,38.057551
58,1,102
58,2,14.767353
59,1,2509
59,2,27.724719
60,1,255
60,2,27.995255
61,1,9
61,2,145.666667
62,1,46
62,2,26.070435
63,1,8
63,2,130.895
64,1,126
64,2,40.444762
65,1,22
65,2,78.532727
66,1,3
66,2,192.333333
67,1,1
67,2,79
68,1,11
68,2,196.272727
69,1,10
69,2,122.06
70,1,90
70,2,42.686889
71,1,399
71,2,26.978997
72,1,54
72,2,25.536667
73,1,5
73,2,131
74,1,50
74,2,20.1768
75,1,130
75,2,28.838462
76,1,199
76,2,34.098241
77,1,2
77,2,349
78,1,12
78,2,184
79,1,136
79,2,35.455588
80,1,68
80,2,30.448824
81,1,33
81,2,120.181818
82,1,712
82,2,22.47809
83,1,469
83,2,27.640235
84,1,74
84,2,28.544595
85,1,110
85,2,27.048182
86,1,62
86,2,41.410645
87,1,88
87,2,57.69
88,1,342
88,2,23.232368
89,1,34
89,2,90.674706
90,1,36
90,2,60.348889
91,1,108
91,2,18.646204
92,1,2
92,2,349
93,1,4
93,2,181.5
94,1,223
94,2,21.02426
95,1,12
95,2,56.359167
96,1,135
96,2,17.214889
97,1,4
97,2,76.25
98,1,12
98,2,285.666667
99,1,4
99,2,194
100,1,7
100,2,167.571429
101,1,67
101,2,42.005821
102,1,1
102,2,79
103,1,115
103,2,25.100261
104,1,136
104,2,24.246471
105,1,47
105,2,27.152766
106,1,230
106,2,17.135217
107,1,15
107,2,59.635333
108,1,36
108,2,16.517778
109,1,144
109,2,44.222778
110,1,34
110,2,18.220882
111,1,62
111,2,29.359516
112,1,27
112,2,30.726296
113,1,206
113,2,33.607524
114,1,39
114,2,27.095641
115,1,10
115,2,183
116,1,8
116,2,312.375
117,1,136
117,2,32.409559
118,1,22
118,2,127.556364
119,1,100
119,2,34.6953
120,1,378
120,2,44.831032
121,1,21
121,2,141.085714
122,1,28
122,2,38.835714
123,1,7
123,2,127.245714
124,1,101
124,2,27.530495
125,1,16
125,2,72.7475
126,1,25
126,2,69.3128
127,1,172
127,2,20.263837
128,1,284
128,2,25.539085
129,1,2
129,2,149
130,1,18
130,2,46.342222
131,1,4
131,2,144
132,1,5
132,2,35.868
133,1,64
133,2,60.141719
134,1,8
134,2,206.5
135,1,6
135,2,147.333333
136,1,11
136,2,121.727273
137,1,118
137,2,36.823051
138,1,5
138,2,191
139,1,94
139,2,33.67766
140,1,57
140,2,31.120877
141,1,81
141,2,33.630617
142,1,493
142,2,33.518824
143,1,38
143,2,45.836316
144,1,113
144,2,38.077876
145,1,7
145,2,176.971429
146,1,22
146,2,57.120909
147,1,71
147,2,29.369859
148,1,1
148,2,149
149,1,7
149,2,237.192857
150,1,7
150,2,241.857143
151,1,92
151,2,21.687174
152,1,71
152,2,35.162535
153,1,171
153,2,31.491345
154,1,126
154,2,35.605556
155,1,49
155,2,42.096327
156,1,374
156,2,19.780053
157,1,127
157,2,40.875591
158,1,352
158,2,22.683182
159,1,94
159,2,23.571277
160,1,4
160,2,274
161,1,60
161,2,24.227333
162,1,2
162,2,349
163,1,46
163,2,25.921304
164,1,15
164,2,66.240667
165,1,1
165,2,149
166,1,4
166,2,79
167,1,470
167,2,26.252383
168,1,4
168,2,174
169,1,104
169,2,49.845192
170,1,21
170,2,63.474286
171,1,60
171,2,24.112
172,1,4
172,2,339
173,1,1
173,2,149
174,1,1
174,2,199
175,1,122
175,2,30.819508
176,1,2
176,2,349
177,1,1000
177,2,32.44532
178,1,24
178,2,62.515
179,1,32
179,2,16.7025
180,1,61
180,2,66.955082
181,1,16
181,2,35.48125
182,1,129
182,2,41.137054
183,1,196
183,2,30.593469
184,1,703
184,2,49.902006
185,1,385
185,2,27.340753
186,1,19
186,2,248.836842
187,1,26
187,2,48.49
188,1,1
188,2,89
189,1,47
189,2,93.258723
190,1,2
190,2,89
191,1,10
191,2,36.273
192,1,22
192,2,174.149091
193,1,1
193,2,189
194,1,77
194,2,45.044416
195,1,188
195,2,25.191915
196,1,721
